Pasta,Documento,Tipo,Link
(raiz),Ata-de-criação-SEPG.pdf,pdf,https://drive.google.com/file/d/1EFI0RcRsilCo8p7NDsd71-f3bWtlWZMc/view?usp=drivesdk
(raiz),Avaliacão_Oficial_Planilha-Indicadores_SW_2024-Nivel C,,https://drive.google.com/file/d/1iiroC88KQ1SPTis5VBGRxBChmZUizI1hubZXxpyzNBE/view?usp=drivesdk
(raiz),TPL-GPC-002_Ata-Reuniao-SEPG.xlsx,xlsx,https://drive.google.com/file/d/1sGkGUkG4K6JYd8AWGganOiN7E2bJZj8j/view?usp=drivesdk
00_governanca,ATA-GPC-001_Reuniao-Analise-Critica-de-Processos.docx,docx,https://drive.google.com/file/d/1mSEGlpnnXBRwaVqlnsioWGVZQCfdyXVD/view?usp=drivesdk
00_governanca,CHK-Auditoria Organizacional-Timeware_junho2026.xls,xls,https://drive.google.com/file/d/1dLEs2NkG672GBNtPByTx6_RSOLUWkkmJ/view?usp=drivesdk
00_governanca,CONV-ORG-001_Convencao-de-Nomenclatura-e-Versionamento.docx,docx,https://drive.google.com/file/d/1Ag4-jg-EEHXvggj27dmSr_07uzkYh77k/view?usp=drivesdk
00_governanca,EST-GPC-001_Estrategia-de-Garantia-da-Qualidade.docx,docx,https://drive.google.com/file/d/1PdyKvi2sk8adOJE2mKW3L5QumD9shj-v/view?usp=drivesdk
00_governanca,EST-GPC-002_Estrategia-de-Gerencia-de-Riscos.docx,docx,https://drive.google.com/file/d/1jNY12kyO2w-DJKhz8aizdHI9Q7HBo3Pl/view?usp=drivesdk
00_governanca,GQA-ORG-001_Auditoria-Organizacional.docx,docx,https://drive.google.com/file/d/1vNp-iv47mRXMyLEeR3f1pEDN4JXA1Zhv/view?usp=drivesdk
00_governanca,GUIA-GPC-001_Guia-de-Adaptacao-do-Processo-Padrao.docx,docx,https://drive.google.com/file/d/1ha36PVPtCC4YIeBXc0qZ_aLGJVNxY3I0/view?usp=drivesdk
00_governanca,GUIA-GPC-002_Guia-de-Auditorias-de-GQA.docx,docx,https://drive.google.com/file/d/1NrY7N_tj_u-cK3iwpjIzjraez005KrzW/view?usp=drivesdk
00_governanca,PLA-GPC-001_Plano-de-Gestao-e-Melhoria-de-Processos.docx,docx,https://drive.google.com/file/d/131GoQo25d8-YX5ejvh1DAAUeMWl1Mk-K/view?usp=drivesdk
00_governanca,POL-ORG-001_Politica-Organizacional-de-Processos.docx,docx,https://drive.google.com/file/d/1GmI7A4qb2yBY7y6tfUmd7UEtsKXqSFhy/view?usp=drivesdk
00_governanca,PRO-GPC-001_Processo-Padrao-Organizacional.docx,docx,https://drive.google.com/file/d/1NU3XFUjMKuLcBIEW6DrgKIz0BNWi3KxV/view?usp=drivesdk
00_governanca,PRO-GPC-002_Definicao-do-Time-de-Melhoria-Continua.docx,docx,https://drive.google.com/file/d/1lh--xCFmICNqD7GKkDmQ1F3MOPTgox1V/view?usp=drivesdk
00_governanca,PRO-OSW-001_Governanca-Organizacional-de-Processos.docx,docx,https://drive.google.com/file/d/1aLxm5g-o_qTP6V_LSQybcTC7nzdMgUAt/view?usp=drivesdk
00_governanca,PRO-OSW-002_Gestao-de-Portfolio-de-Projetos.docx,docx,https://drive.google.com/file/d/1bZr4oVRjUSGwYvRuL4v_cEioy6gOgJro/view?usp=drivesdk
00_governanca,REG-GPC-001_Registro-de-Melhorias-de-Processo.docx,docx,https://drive.google.com/file/d/1h_fkAu9MjScpjg3l9r3OHepLf0zU8eA9/view?usp=drivesdk
00_governanca,REG-GPC-002_Plano-de-Implementacao-de-Melhorias.docx,docx,https://drive.google.com/file/d/1GCLn8iMOKMAUf2w_FjpOSx40cmfO741E/view?usp=drivesdk
00_governanca,REG-OSW-001_Painel-de-Portfolio.docx,docx,https://drive.google.com/file/d/1kAjVXkatpQad4EuU19Il6BzL0c8IkITD/view?usp=drivesdk
00_governanca,REG-OSW-002_Comunicacao-da-Politica-Organizacional.docx,docx,https://drive.google.com/file/d/1nqnyQ3vWpXA8HPeQMRc2X0XuZNOUx1uu/view?usp=drivesdk
00_governanca,REG-OSW-003_Riscos-Organizacionais.xlsx,xlsx,https://drive.google.com/file/d/1P2hhQaWTAbOlyifwPrbaEdF3kTwqLMFP/view?usp=drivesdk
00_governanca,Timeware_GQA_-_CHK-Auditoria_QA_do_QA_Jun2026.xlsx,xlsx,https://drive.google.com/file/d/1JjU5851rE_9gVpEN9ySdnLYAiGseVaME/view?usp=drivesdk
01_apoio,DIAG-GPC-001_Fluxo-do-Processo-Padrao.svg,svg,https://drive.google.com/file/d/1lMaZ2M1qKHfkGfIVAhc4rRyD26-LJJPI/view?usp=drivesdk
01_apoio,GUIA-GCO-001_Guia-de-Nomenclaturas-Tecnicas.docx,docx,https://drive.google.com/file/d/1aSfVOk1WBb8itN0-9jMHO5yhYxsrGM2_/view?usp=drivesdk
01_apoio,PLA-CAP-001_Plano-de-Capacitacao.docx,docx,https://drive.google.com/file/d/1fRYqINyOJrh7ily2FW-e2XnQH0z-mYd6/view?usp=drivesdk
01_apoio,PLA-GCO-001_Plano-de-Gerencia-de-Configuracao.docx,docx,https://drive.google.com/file/d/1ZNsiKFYVP1IvPlpovyJhhKNfVfPMlibj/view?usp=drivesdk
01_apoio,PLA-MED-001_Plano-de-Medicao.docx,docx,https://drive.google.com/file/d/1bl5-_poxJigRv4_5gQj8K3dFDIEqQF5e/view?usp=drivesdk
01_apoio,PRO-AQU-001_Processo-de-Aquisicao.docx,docx,https://drive.google.com/file/d/18vVN8pTYAeP69xbHsnIGPgNLHq_IIwWt/view?usp=drivesdk
01_apoio,PRO-CAP-001_Processo-de-Capacitacao.docx,docx,https://drive.google.com/file/d/1QrUMeBMUAYoppls0b02CNlbDE3l6lW1-/view?usp=drivesdk
01_apoio,PRO-GCO-001_Processo-de-Gerencia-de-Configuracao.docx,docx,https://drive.google.com/file/d/1DjbxKyj6bxsfBJkA-tiicqTASjH0DMNN/view?usp=drivesdk
01_apoio,PRO-GDE-001_Processo-de-Gerencia-de-Decisoes.docx,docx,https://drive.google.com/file/d/1N_0Tta90F4vg9JbjPvLPshqAwPCgVhxj/view?usp=drivesdk
01_apoio,PRO-MED-001_Processo-de-Medicao.docx,docx,https://drive.google.com/file/d/1zqYLBqG8Tjj9k-oKjR6HxyhS9f7L8KHG/view?usp=drivesdk
01_apoio,REG-MED-001_Repositorio-Organizacional-de-Medicao.docx,docx,https://drive.google.com/file/d/1Zbskc4JksK9Unm6Fn46DkvKMs_qmjul2/view?usp=drivesdk
01_apoio/cap,AVA-CAP-001_Avaliacao-Processo-Padrao-Geral.docx,docx,https://drive.google.com/file/d/13GOC8q0K9e_qbFDzlZxlgbOCTnf4dNkL/view?usp=drivesdk
01_apoio/cap,AVA-CAP-002_Avaliacao-GPR.docx,docx,https://drive.google.com/file/d/1wNPYzKfOdRuIbvvDjr-otCb8GoRhCG7q/view?usp=drivesdk
01_apoio/cap,AVA-CAP-003_Avaliacao-Tecnico-REQ-PCP-VV.docx,docx,https://drive.google.com/file/d/1TCtnSs7NzilCXO2KQAs1VUIkJGhMTACn/view?usp=drivesdk
01_apoio/cap,AVA-CAP-004_Avaliacao-GCO-ITP.docx,docx,https://drive.google.com/file/d/1US9vp7JZU04JucCuED_goKxGr9ZZ-9g3/view?usp=drivesdk
01_apoio/cap,AVA-CAP-005_Avaliacao-GPC-MED-CAP.docx,docx,https://drive.google.com/file/d/18zWHf9BsL7jy-klnk-aRjv7NYjIwYyvX/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-001_MiniManual-GPR.docx,docx,https://drive.google.com/file/d/1v97Th4VFwmg8-yIKfjJ5XnM8xQZ9gQ6S/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-002_MiniManual-REQ.docx,docx,https://drive.google.com/file/d/1Q0pAd_F2SgWNtfEyv-QNjTzg1kks8aOn/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-003_MiniManual-PCP.docx,docx,https://drive.google.com/file/d/1veYVFsie7Lr-JwZtv9R7XPIgC5G3fUgj/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-004_MiniManual-VV.docx,docx,https://drive.google.com/file/d/1aVOG1oejstTXFMvTGK8o3gSs9xZjLrnB/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-005_MiniManual-GCO.docx,docx,https://drive.google.com/file/d/1e9ikwsWjrezS3sra9hJLorItDERWDv7K/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-006_MiniManual-ITP.docx,docx,https://drive.google.com/file/d/1tqFdOOTK77v62duzBsmvNVwcIigjTPvG/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-007_MiniManual-GDE.docx,docx,https://drive.google.com/file/d/1prpCXsG_qqc7gT4T0IfgJGYcohNXRDl1/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-008_MiniManual-MED.docx,docx,https://drive.google.com/file/d/1Y_YmTBtBwJjLQUKsAmH5ZvaVisALAAoI/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-009_MiniManual-GPC.docx,docx,https://drive.google.com/file/d/1SDGOr0CiUxIjNDBuODC6wdgpp8NSoeGj/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-010_MiniManual-OSW.docx,docx,https://drive.google.com/file/d/1NX19Hv07nAVcyyvkPPEyYyUGJkKDsAWb/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-011_MiniManual-CAP.docx,docx,https://drive.google.com/file/d/1aXxOmf0e15DbrsWn1ZaraHcPjntfbJA0/view?usp=drivesdk
01_apoio/cap,GUIA-CAP-012_MiniManual-AQU.docx,docx,https://drive.google.com/file/d/1KRovoA8y4usjBw54k-6koFndZbEtft3p/view?usp=drivesdk
01_apoio/cap,MAT-CAP-013_Trilha-COO-Portfolio.docx,docx,https://drive.google.com/file/d/1s2-1ARa6uoXvZ242Rr1TSykDk33AhWAf/view?usp=drivesdk
01_apoio/cap,MAT-CAP-014_Trilha-Time-Melhoria-SEPG.docx,docx,https://drive.google.com/file/d/1HaW1EHn2aAQqY9xK89ODIgI2IvxWrDyP/view?usp=drivesdk
01_apoio/cap,MAT-CAP-015_Trilha-RH-Pessoas.docx,docx,https://drive.google.com/file/d/1UWNTFbXxQ_kmJqSGNOkRFeX-iSomPnSG/view?usp=drivesdk
01_apoio/cap,MAT-CAP-016_Trilha-Tech-Lead-Arquiteto.docx,docx,https://drive.google.com/file/d/15nIEUZFERE0EJV4QZk9xpQBwlNUZFCcF/view?usp=drivesdk
01_apoio/cap,MAT-CAP-017_Trilha-PO-PM.docx,docx,https://drive.google.com/file/d/1JHBn9SgnWJf6uzC3G1GGvmPIS9fZIWPa/view?usp=drivesdk
01_apoio/cap,MAT-CAP-018_Trilha-Devs.docx,docx,https://drive.google.com/file/d/1dR90Hw5yPrDYtExr8YoHJM4aEYVnXWWh/view?usp=drivesdk
01_apoio/cap,MAT-CAP-019_Trilha-DevOps.docx,docx,https://drive.google.com/file/d/1kSQSizbFFaPxnmhXWmsUbvmTu5xwA6-M/view?usp=drivesdk
01_apoio/cap,MAT-CAP-020_Trilha-QA.docx,docx,https://drive.google.com/file/d/1Dj-qizipNW-ltxCZWvmxHzxaJTcRtZL_/view?usp=drivesdk
01_apoio/cap,MAT-CAP-021_Trilha-GCO-Baseline.docx,docx,https://drive.google.com/file/d/1CN4W49RgtDofz8gTKGpO-XG91s1JU8NG/view?usp=drivesdk
01_apoio/cap,MAT-CAP-022_Trilha-Responsavel-Medicao.docx,docx,https://drive.google.com/file/d/1SrbC85jEtMo7UKhvKff-j4hV_cn6J0Gc/view?usp=drivesdk
01_apoio/cap,MAT-CAP-023_Trilha-Tecnica-Onboarding.docx,docx,https://drive.google.com/file/d/1b74pAiJa0SgmSlw6aIgafAJsLb1FO6JT/view?usp=drivesdk
01_apoio/cap,REG-CAP-001B_Sessao-Reforco-Jan2025.docx,docx,https://drive.google.com/file/d/1MKVD45n4shRUHW_6Y9s0dAbpRqrJ1Iyj/view?usp=drivesdk
01_apoio/cap,REG-CAP-001_Sessao-Treinamento-Dez2024.docx,docx,https://drive.google.com/file/d/1d3uKsFw7u-EivN-32-gbwbb2e1R9qqvt/view?usp=drivesdk
01_apoio/cap,REG-CAP-002B_Sessao-Reforco-Set2025.docx,docx,https://drive.google.com/file/d/1ld5yom8HOzJ8lnJjbei2JFBf-YmI4BrJ/view?usp=drivesdk
01_apoio/cap,REG-CAP-002_Sessao-Treinamento-Mar2025.docx,docx,https://drive.google.com/file/d/13QC7eLlcwKHSakbvo-zzE6dHLCwAxpN3/view?usp=drivesdk
01_apoio/cap,REG-CAP-003_Sessao-Treinamento-Ago2025.docx,docx,https://drive.google.com/file/d/14TYg_YEqr0RMpHXS8s7SHiAJTJhV5YoI/view?usp=drivesdk
01_apoio/cap,REG-CAP-004_Sessao-Treinamento-Jan2026.docx,docx,https://drive.google.com/file/d/1PAWKGhzVbZS4SeyDrutAj9mM-HMGxKs4/view?usp=drivesdk
01_apoio/cap,REG-CAP-005_Sessao-Treinamento-Mai2026.docx,docx,https://drive.google.com/file/d/1D8oZJ-zFZ1xCaEkheX1fr_UVX0Vlfq6g/view?usp=drivesdk
01_apoio/cap,REG-CAP-006_Sessao-Gestao-Out2025.docx,docx,https://drive.google.com/file/d/1Qv8t4ZXt2I3tLI9pg_HOwCekuEI4JzX5/view?usp=drivesdk
01_apoio/cap,REG-CAP-007_Sessao-Tecnico-Jan2026.docx,docx,https://drive.google.com/file/d/1hVZts-J6HjJj_U41MyHZklhTMlp9xYn5/view?usp=drivesdk
01_apoio/cap,REG-CAP-008_Sessao-Tecnico-Fev2026.docx,docx,https://drive.google.com/file/d/17Dvw_Q_iCQ10w0arFOOoMakjpaqGOstI/view?usp=drivesdk
01_apoio/cap,REG-CAP-009_Reciclagem-Mar2026.docx,docx,https://drive.google.com/file/d/1df4AZerHPxQz0rBtvFH3zHkMramhnvzU/view?usp=drivesdk
01_apoio/cap,REG-CAP-010_Onboarding-Tecnico-Jan2026.docx,docx,https://drive.google.com/file/d/1_YQ9DpRBydaU04jOIZ5JK2ooImBDHgfZ/view?usp=drivesdk
01_apoio/cap,REG-CAP-011_Workshop-Azure-APIM-Mar2026.docx,docx,https://drive.google.com/file/d/1fXmJU_h1MhW7evekDBwhWHMvT3KpvGzN/view?usp=drivesdk
01_apoio/cap,REG-CAP-012_Workshop-Automacao-Testes-Fev2026.docx,docx,https://drive.google.com/file/d/1qAcFU5xyyEbbxrLk2XL75L-EmBsJiqsi/view?usp=drivesdk
01_apoio/cap,REG-CAP-013_Consultoria-Desenho-Processos-Jun2025.docx,docx,https://drive.google.com/file/d/1BYatkn9c-PMuHuOVurTVVcZb3UXP8Zu7/view?usp=drivesdk
01_apoio/cap,REG-CAP-CV-001_Indice-de-Curriculos.docx,docx,https://drive.google.com/file/d/1QwGtPfGUwvcmpBkFxl9R60DSuJXCiunl/view?usp=drivesdk
01_apoio/cap,REL-CAP-001_Relatorio-de-Eficacia-2025.docx,docx,https://drive.google.com/file/d/1vOW1WaWQyddaHXdkJfFkmVP7o4RDzxeX/view?usp=drivesdk
01_apoio/cap,TLP-CAP-003_Formulario-de-Avaliacao-do-Instrutor.docx,docx,https://drive.google.com/file/d/1JWxBzA34W7LlDEoejzTlBRwAGwvbR0H0/view?usp=drivesdk
01_apoio/cap,TPL-CAP-001_Registro-de-Sessao-de-Treinamento.docx,docx,https://drive.google.com/file/d/1ZRcOc9EUe_tGu93X2_CHESAL31GaR5tC/view?usp=drivesdk
01_apoio/cap,TPL-CAP-002_Relatorio-de-Eficacia-de-Treinamento.docx,docx,https://drive.google.com/file/d/1IyIJpISZPSI_fDzTWieJCoN1E7E-5Cgb/view?usp=drivesdk
01_apoio/cap/curriculos,CV-Caroline-Jenifer_QA.pdf,pdf,https://drive.google.com/file/d/1C7vxxTRerQM1J7J344iub0tfSV86ozhc/view?usp=drivesdk
01_apoio/cap/curriculos,CV-Cezar-Velazquez_TechLead.pdf,pdf,https://drive.google.com/file/d/1Wj_kGQvhXViFApjmjJDfvzUvbSuyqqV3/view?usp=drivesdk
01_apoio/cap/curriculos,CV-Flavio-Fernandes_GQA-Arquitetura.pdf,pdf,https://drive.google.com/file/d/1GSQQ2yS_E7-HnE2BFPsf1A-hkq2AVjPd/view?usp=drivesdk
01_apoio/cap/curriculos,CV-Karen-Wada_Consultora-Processos.pdf,pdf,https://drive.google.com/file/d/1jX6ax9IDMALDHpoTCrcMMerF_nGIGpCr/view?usp=drivesdk
01_apoio/cap/curriculos,CV-Silvio-Baroni_SEPG-GPC.pdf,pdf,https://drive.google.com/file/d/1rC4NvQveAUCAWQOkNiU8VvlVX2AkTN6i/view?usp=drivesdk
01_apoio/cap/curriculos,CV-Wilson-Yamada_Sponsor-Portfolio.pdf,pdf,https://drive.google.com/file/d/11gRQH_6m7Eq1ojWkfu6hRK_AqTqY65ak/view?usp=drivesdk
02_projeto,GUIA-GPR-001_Roteiro-de-Kickoff.docx,docx,https://drive.google.com/file/d/1Iqum1Ej_iNdiaXLJ3I1sp0JrI0iWUvnk/view?usp=drivesdk
02_projeto,PRO-GPR-001_Processo-de-Gerencia-de-Projetos.docx,docx,https://drive.google.com/file/d/1EWyaanDh-iLbsEOhoz5E62LDSuGvmTij/view?usp=drivesdk
02_projeto,PRO-ITP-001_Processo-de-Integracao-do-Produto.docx,docx,https://drive.google.com/file/d/11NtIkxH-4lYyR7a53UTbDIMAfxzzNmL6/view?usp=drivesdk
02_projeto,PRO-PCP-001_Processo-de-Projeto-e-Construcao-do-Produto.docx,docx,https://drive.google.com/file/d/1s0FDXL-yA-t3Q9yzDXdUt_0a8xDtib7F/view?usp=drivesdk
02_projeto,PRO-REQ-001_Processo-de-Engenharia-de-Requisitos.docx,docx,https://drive.google.com/file/d/1ym-pv-GPmpf_t1ir19bOtfIgJZyX0BPt/view?usp=drivesdk
02_projeto,PRO-VV-001_Processo-de-Verificacao-e-Validacao.docx,docx,https://drive.google.com/file/d/18yE_PzywceT3Z60vRqPC-yJjw4Su3528/view?usp=drivesdk
03_templates,EXEMPLO-GPR-005_Status-Report-Exemplo-Preenchido.docx,docx,https://drive.google.com/file/d/1L0rob_f1ODSOZXHoXgV_w_znX6JwKNga/view?usp=drivesdk
03_templates,TPL-GDE-001_Template-Registro-de-Analise-de-Decisao.docx,docx,https://drive.google.com/file/d/1wHbMGhvGpwUGtEj4oPQQ1KV97zLwEy7n/view?usp=drivesdk
03_templates,TPL-GPC-001_Template-Registro-de-Verificacao-de-GQA.docx,docx,https://drive.google.com/file/d/19rnaNwNh_stfJKjPUPjCKs5Yl6USfbxY/view?usp=drivesdk
03_templates,TPL-GPR-001_Template-Plano-de-Projeto.docx,docx,https://drive.google.com/file/d/190E2DG0B4jgwqg4oJ8uTXDUNNd1ROXkM/view?usp=drivesdk
