Work Item ID,Tipo,Resumo,Sprint (Milestone),Status,Labels,URL (GitLab)
#1,historia,US-01 - Captura via engine EPROC/ESAJ (TJSP),Sprint 1,closed,fase::2; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/1
#2,historia,US-02 - Contornar captcha Cloudflare,Discovery,closed,fase::1; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/2
#3,historia,US-03 - Capturar 1a instancia (EPROC) e incidentes (ESAJ),Sprint 3,closed,fase::2; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/3
#4,historia,US-04 - DataJud/CNJ como fonte primaria,Sprint 6,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/4
#5,historia,US-05 - Token Bearer CNJ compartilhado,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/5
#6,historia,US-06 - Registrar CodigoFonteAPI,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/6
#7,historia,US-07 - Enviar dados ao webhook de indexacao,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/7
#8,historia,US-08 - CapturaServer enfileira NUPs unificado,Sprint 2,closed,fase::2; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/8
#9,historia,US-09 - Ler fila unificada,Sprint 6,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/9
#10,historia,US-10 - Desligar NUP nas parceiras apos CNJ,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/10
#11,historia,US-11 - Fallback para parceiras por prioridade,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/11
#12,historia,US-12 - Tratar retornos das parceiras,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/12
#13,historia,US-13 - Segredo de justica por instancia,Sprint 9,closed,fase::5; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/13
#14,historia,US-14 - Registrar erros por instancia,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/14
#15,historia,US-15 - Recuperacao da fila (137k),Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/15
#16,historia,US-16 - Validar fluxo E2E por amostragem,Sprint 10,closed,fase::5; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/16
#17,historia,US-17 - Retry no envio ao webhook,Sprint 10,closed,fase::5; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/17
#18,historia,US-18 - Implantar via GMUD e retomar 2a instancia,Sprint 11,opened,fase::6; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::em-andamento; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/18
#19,historia,US-19 - Estabilizar crawler EPROC,Sprint 4,closed,fase::3; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/19
#20,historia,US-20 - Desempenho do crawler e GMUD EPROC,Sprint 5,closed,fase::3; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/20
#21,bug,BUG-01 - Timeout ao carregar tela de login pos-captcha (EPROC),Sprint 4,closed,fase::3; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/21
#22,bug,BUG-02 - ProcessoCapturaLogin null em algumas instancias,Sprint 4,closed,fase::3; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/22
#23,bug,BUG-03 - Nullabilidade no consumidor / ProcessoCapturaLogin,Sprint 4,closed,fase::3; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/23
#24,bug,BUG-04 - DataUltimaAtualizacao incorreta,Sprint 4,closed,fase::3; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/24
#25,bug,BUG-05 - Webhook CNJ — desserializacao incompleta,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/25
#26,bug,BUG-06 - Publicacao na fila travando (137k itens),Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/26
#27,bug,BUG-07 - Campos do desligamento das parceiras,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/27
#28,bug,BUG-08 - Servico de token apos merge na AndamentosProcessuais,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/28
#29,bug,BUG-09 - Fluxo de indexacao vs exclusao nas parceiras,Sprint 10,closed,fase::5; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/29
#30,bug,"BUG-10 - NullReference no consumidor da fila (v241, contencao)",Sprint 11,closed,fase::6; frente::captura-CNJ; prioridade::media; processo::VV; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::bug,http://191.234.192.153/aasp/cnj/-/work_items/30
#31,ata,ATA-AASPCNJ01-001 - Alinhamento do fluxo CNJ (07/04/2026),Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::baixa; processo::GPR; repo::WorkerAndamentos; status::entregue; tipo::ata,http://191.234.192.153/aasp/cnj/-/work_items/31
#32,change-request,CR-AASPCNJ01-001 - Pausa da 2a instancia EPROC,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::GPR; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::change-request,http://191.234.192.153/aasp/cnj/-/work_items/32
#33,change-request,CR-AASPCNJ01-002 - Escopo adicional Fase 5,Sprint 9,closed,fase::5; frente::captura-CNJ; prioridade::alta; processo::GPR; repo::WorkerAndamentos; risco::medio; status::entregue; tipo::change-request,http://191.234.192.153/aasp/cnj/-/work_items/33
#34,decisao,D-01 - Engine nativo EPROC/ESAJ para o TJSP,Discovery,closed,fase::1; frente::captura-CNJ; prioridade::media; processo::GDE; repo::WorkerAndamentos; status::entregue; tipo::decisao,http://191.234.192.153/aasp/cnj/-/work_items/34
#35,decisao,D-02 - DataJud/CNJ como fonte primaria universal,Sprint 6,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::GDE; repo::WorkerAndamentos; status::entregue; tipo::decisao,http://191.234.192.153/aasp/cnj/-/work_items/35
#36,decisao,D-03 - Fila RabbitMQ unificada (multi-fonte),Sprint 2,closed,fase::2; frente::captura-CNJ; prioridade::media; processo::GDE; repo::WorkerAndamentos; status::entregue; tipo::decisao,http://191.234.192.153/aasp/cnj/-/work_items/36
#37,decisao,D-04 - Token Bearer compartilhado com renovacao,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::GDE; repo::WorkerAndamentos; status::entregue; tipo::decisao,http://191.234.192.153/aasp/cnj/-/work_items/37
#38,decisao,D-05 - De/para CNJ -> Andamento (modelo Elasticsearch),Sprint 6,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::GDE; repo::WorkerAndamentos; status::entregue; tipo::decisao,http://191.234.192.153/aasp/cnj/-/work_items/38
#39,decisao,D-06 - Pausar 2a instancia EPROC (CR-001),Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::media; processo::GDE; repo::WorkerAndamentos; status::entregue; tipo::decisao,http://191.234.192.153/aasp/cnj/-/work_items/39
#40,decisao,D-07 - Segredo de justica por instancia (CR-002),Sprint 9,closed,fase::5; frente::captura-CNJ; prioridade::media; processo::GDE; repo::WorkerAndamentos; status::entregue; tipo::decisao,http://191.234.192.153/aasp/cnj/-/work_items/40
